After	IN	(TOP(S(SBAR*	O	1
Jesus	NNP	(S(NP*)	O	1
said	VBD	(VP*	O	1
all	PDT	(NP*	O	1
these	DT	*	O	1
things	NNS	*))))	O	1
,	,	*	O	1
he	PRP	(NP*)	O	1
left	VBD	(VP*	O	1
Galilee	NNP	(NP*))	O	1
.	.	*))	O	1

He	PRP	(TOP(S(NP*)	O	2
went	VBD	(VP*	O	2
into	IN	(PP*	O	2
the	DT	(NP(NP(NP*	O	2
area	NN	*)	O	2
of	IN	(PP*	O	2
Judea	NNP	(NP*)))	O	2
on	IN	(PP*	O	2
the	DT	(NP(NP*	O	2
other	JJ	*	O	2
side	NN	*)	O	2
of	IN	(PP*	O	2
the	DT	(NP*	O	2
Jordan	NNP	*	O	2
River	NNP	*)))))))	O	2
.	.	*))	O	2

Many	JJ	(TOP(S(NP*	O	3
people	NNS	*)	O	3
followed	VBD	(VP*	O	3
him	PRP	(NP*))	O	3
.	.	*))	O	3

Jesus	NNP	(TOP(S(NP*)	O	4
healed	VBD	(VP*	O	4
the	DT	(NP(NP*	O	4
sick	JJ	*	O	4
people	NNS	*)	O	4
there	RB	(ADVP*)))	O	4
.	.	*))	O	4

Some	DT	(TOP(S(NP*	O	5
Pharisees	NNPS	*)	O	5
came	VBD	(VP*	O	5
to	IN	(PP*	O	5
Jesus	NNP	(NP*)))	O	5
.	.	*))	O	5

They	PRP	(TOP(S(NP*)	O	6
tried	VBD	(VP*	O	6
to	TO	(S(VP*	O	6
make	VB	(VP*	O	6
him	PRP	(S(NP*)	O	6
say	VB	(VP*	O	6
something	NN	(NP(NP*)	O	6
wrong	JJ	(ADJP*))))))))	O	6
.	.	*))	O	6

They	PRP	(TOP(S(NP*)	O	7
asked	VBD	(VP*	O	7
him	PRP	(NP*)	O	7
,	,	*	O	7
``	``	*	O	7
Is	VBZ	(SQ*	O	7
it	PRP	(NP(NP*))	O	7
right	JJ	(ADJP*)	O	7
for	IN	(SBAR*	O	7
a	DT	(S(NP*	O	7
man	NN	*)	O	7
to	TO	(VP*	O	7
divorce	VB	(VP*	O	7
his	PRP$	(NP*	O	7
wife	NN	*)	O	7
for	IN	(PP*	O	7
