With	IN	(TOP(S(PP*	O	1
economic	JJ	(S(NP(NP*	O	1
tension	NN	*)	O	1
between	IN	(PP*	O	1
the	DT	(NP(NP*	O	1
U.S.	NNP	*)	B-GPE	1
and	CC	*	O	1
Japan	NNP	(NP*))))	B-GPE	1
worsening	VBG	(VP*)))	O	1
,	,	*	O	1
many	JJ	(NP*	O	1
Japanese	NNPS	*)	B-NORP	1
had	VBD	(VP*	O	1
feared	VBN	(VP*	O	1
last	JJ	(NP(NP(NP*	B-DATE	1
week	NN	*	I-DATE	1
's	POS	*)	I-DATE	1
visit	NN	*)	O	1
from	IN	(PP*	O	1
U.S.	NNP	(NP(NML*	B-GPE	1
Trade	NNP	*	O	1
Representative	NNP	*)	O	1
Dodo	NNP	*	B-PERSON	1
Dodo	NNP	*)))))	I-PERSON	1
.	.	*))	O	1
They	PRP	(TOP(S(NP*)	O	2
expected	VBD	(VP*	O	2
a	DT	(NP(NP*	O	2
new	JJ	*	O	2
barrage	NN	*)	O	2
of	IN	(PP*	O	2
demands	NNS	(NP*	O	2
that	IN	(SBAR*	O	2
Japan	NNP	(S(NP*)	B-GPE	2
do	VB	(VP*	O	2
something	NN	(NP*)	O	2
quickly	RB	(ADVP*)	O	2
to	TO	(S(VP*	O	2
reduce	VB	(VP*	O	2
its	PRP$	(NP(NP*	O	2
trade	NN	*	O	2
surplus	NN	*)	O	2
with	IN	(PP*	O	2
the	DT	(NP*	O	2
U.S.	NNP	*)))))))))))))	B-GPE	2
.	.	*))	O	2
Instead	RB	(TOP(S(ADVP*)	O	3
,	,	*	O	3
they	PRP	(NP*)	O	3
got	VBD	(VP*	O	3
a	DT	(NP(NP*	O	3
discussion	NN	*)	O	3
of	IN	(PP(PP*	O	3
the	DT	(NP*	O	3
need	NN	*	O	3
for	IN	(SBAR*	O	3
the	DT	(S(NP(NP*	O	3
U.S.	NNP	*)	B-GPE	3
and	CC	*	O	3
Japan	NNP	(NP*))	B-GPE	3
to	TO	(VP*	O	3
work	VB	(VP*	O	3
together	RB	(ADVP*)))))))	O	3
and	CC	*	O	3
of	IN	(PP*	O	3
the	DT	(NP(NP*	O	3
importance	NN	*)	O	3
of	IN	(PP*	O	3
the	DT	(NP*	O	3
long	JJ	(NML*	O	3
-	HYPH	*	O	3
term	NN	*)	O	3
view	NN	*)))))))	O	3
.	.	*))	O	3
Mrs.	NNP	(TOP(S(NP(NP(NP*	O	4
Dodo	NNP	*	B-PERSON	4
'	POS	*)	O	4
first	JJ	*	B-ORDINAL	4
trip	NN	*)	O	4
to	IN	(PP*	O	4
Japan	NNP	(NP*))	B-GPE	4
as	IN	(PP*	O	4
