sentid, sentlen, numents, percentcorrect_spacy, percentcorrect_stanza
0,14,0,0,0
1,22,1,1.0,1.0
2,29,0,0,0
3,11,1,1.0,1.0
4,5,1,1.0,1.0
5,6,0,0,0
6,12,2,0.5,1.0
7,5,0,0,0
8,5,0,0,0
9,5,1,1.0,1.0
10,22,2,0.5,1.0
11,37,4,1.0,1.0
12,11,1,0.0,1.0
13,13,0,0,0
14,18,0,0,0
15,15,0,0,0
16,35,0,0,0
17,19,2,1.0,1.0
18,26,5,1.0,1.0
19,2,0,0,0
20,13,2,0.5,1.0
21,2,0,0,0
22,13,0,0,0
23,26,1,1.0,1.0
24,23,1,0.0,0.0
25,2,0,0,0
26,2,0,0,0
27,18,1,1.0,1.0
28,24,1,0.0,1.0
29,10,1,0.0,0.0
30,8,0,0,0
31,6,1,0.0,1.0
32,7,0,0,0
33,8,1,0.0,0.0
34,2,0,0,0
35,29,2,0.5,1.0
36,20,0,0,0
37,6,0,0,0
38,2,0,0,0
39,20,1,1.0,1.0
40,39,3,0.6666666666666666,0.6666666666666666
41,2,0,0,0
42,15,0,0,0
43,36,0,0,0
44,4,0,0,0
45,4,0,0,0
46,12,0,0,0
47,11,0,0,0
48,70,5,0.6,1.0
49,15,0,0,0
50,18,1,0.0,1.0
51,38,2,0.5,1.0
52,22,3,0.6666666666666666,1.0
53,22,2,0.5,0.5
54,2,0,0,0
55,17,0,0,0
56,2,0,0,0
57,11,0,0,0
58,4,0,0,0
59,6,0,0,0
60,30,2,1.0,1.0
61,2,0,0,0
62,17,0,0,0
63,2,0,0,0
64,29,0,0,0
65,35,1,0.0,0.0
66,2,0,0,0
67,29,0,0,0
68,17,0,0,0
69,11,0,0,0
70,21,0,0,0
71,2,0,0,0
72,26,0,0,0
73,39,0,0,0
74,6,0,0,0
75,2,0,0,0
76,32,0,0,0
77,36,1,1.0,1.0
78,2,0,0,0
79,14,0,0,0
80,27,0,0,0
81,2,0,0,0
82,2,0,0,0
83,11,2,0.5,1.0
84,44,1,0.0,1.0
85,2,0,0,0
86,13,0,0,0
87,9,0,0,0
88,29,1,1.0,1.0
89,5,0,0,0
90,19,1,1.0,1.0
91,22,1,1.0,1.0
92,41,0,0,0
93,13,0,0,0
94,9,0,0,0
95,2,0,0,0
96,2,0,0,0
97,8,0,0,0
98,8,0,0,0
99,11,0,0,0
100,4,0,0,0
101,8,1,1.0,1.0
102,13,0,0,0
103,8,0,0,0
104,4,0,0,0
105,6,1,1.0,1.0
106,4,1,1.0,1.0
107,4,0,0,0
108,17,0,0,0
109,3,0,0,0
110,6,0,0,0
111,8,1,0.0,1.0
112,12,0,0,0
113,14,0,0,0
114,8,0,0,0
115,11,0,0,0
116,13,0,0,0
117,8,0,0,0
118,21,0,0,0
119,44,0,0,0
120,13,0,0,0
121,42,0,0,0
122,34,2,1.0,1.0
123,21,0,0,0
124,13,0,0,0
125,2,0,0,0
126,18,1,1.0,1.0
127,15,0,0,0
128,20,0,0,0
129,32,2,1.0,1.0
130,4,0,0,0
131,9,0,0,0
132,17,1,1.0,1.0
133,27,0,0,0
134,19,1,1.0,1.0
135,14,1,0.0,1.0
136,52,3,1.0,1.0
137,2,0,0,0
138,15,2,0.5,0.5
139,37,1,1.0,1.0
140,41,3,0.6666666666666666,1.0
141,21,1,0.0,0.0
142,34,1,0.0,0.0
143,64,3,0.0,0.6666666666666666
144,2,0,0,0
145,12,0,0,0
146,12,0,0,0
147,2,0,0,0
148,7,0,0,0
149,6,0,0,0
150,10,0,0,0
151,9,0,0,0
152,29,1,0.0,1.0
153,7,0,0,0
154,2,0,0,0
155,15,0,0,0
156,12,0,0,0
157,23,3,1.0,1.0
158,19,0,0,0
159,39,1,1.0,1.0
160,2,0,0,0
161,11,0,0,0
162,16,0,0,0
163,32,1,1.0,1.0
164,12,0,0,0
165,22,1,1.0,1.0
166,8,1,1.0,1.0
167,2,0,0,0
168,66,3,1.0,1.0
169,16,1,1.0,1.0
170,2,0,0,0
171,22,0,0,0
172,42,0,0,0
173,17,1,1.0,1.0
174,2,0,0,0
175,41,3,0.6666666666666666,1.0
176,2,0,0,0
177,24,2,0.5,1.0
178,21,0,0,0
179,13,0,0,0
180,2,0,0,0
181,7,0,0,0
182,2,0,0,0
183,9,0,0,0
184,2,0,0,0
185,2,0,0,0
186,15,0,0,0
187,23,3,0.0,0.6666666666666666
188,8,1,0.0,1.0
189,14,0,0,0
190,27,1,1.0,1.0
191,28,1,1.0,1.0
192,21,2,0.0,1.0
193,21,0,0,0
194,49,5,0.8,0.8
195,11,0,0,0
196,13,3,1.0,1.0
197,10,0,0,0
198,15,1,0.0,0.0
199,14,0,0,0
200,57,3,0.3333333333333333,1.0
201,35,2,0.5,0.5
202,35,0,0,0
203,50,1,0.0,1.0
204,2,0,0,0
205,4,0,0,0
206,16,0,0,0
207,22,0,0,0
208,47,3,0.6666666666666666,0.3333333333333333
209,32,1,0.0,1.0
210,14,0,0,0
211,9,0,0,0
212,30,0,0,0
213,43,2,0.0,1.0
214,33,0,0,0
215,13,0,0,0
216,14,0,0,0
217,2,0,0,0
218,17,0,0,0
219,2,0,0,0
220,21,2,1.0,1.0
221,2,0,0,0
222,7,0,0,0
223,13,0,0,0
224,50,0,0,0
225,36,0,0,0
226,4,0,0,0
227,24,1,1.0,1.0
228,24,1,1.0,1.0
229,16,0,0,0
230,43,0,0,0
231,23,0,0,0
232,16,0,0,0
233,17,1,1.0,1.0
234,40,0,0,0
235,2,0,0,0
236,13,1,1.0,1.0
237,14,0,0,0
238,22,0,0,0
239,13,0,0,0
240,3,0,0,0
241,36,0,0,0
242,19,0,0,0
243,42,2,1.0,1.0
244,39,0,0,0
245,41,0,0,0
246,30,1,1.0,1.0
247,2,0,0,0
248,4,0,0,0
249,18,0,0,0
250,54,0,0,0
251,9,0,0,0
252,3,0,0,0
253,14,0,0,0
254,28,0,0,0
